"Data Source","World Development Indicators",

"Last Updated Date","2017-08-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Channel Islands","CHI","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","80.7900009155273","82.8600006103516","85.5299987792969","85.8000030517578","83.7600021362305","84.3199996948242","82.8000030517578","80.5500030517578","79.379997253418","78.3899993896484","80.1600036621094","79.1900024414063","78.8499984741211","77.7600021362305","79.5999984741211","80.1399993896484","79.8399963378906","81.2099990844727","81.620002746582","82.7799987792969","83.1900024414063","82.4599990844727","83.2699966430664","83.3499984741211","82.2900009155273","82.7200012207031","82.870002746582","83.4700012207031","83.1500015258789","","84.6500015258789","84.4599990844727","84.2600021362305","84.1500015258789","84.7699966430664","83.5599975585938","",
"China","CHN","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.189998626709","","","","",
"Cameroon","CMR","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","78.3000030517578","75.6399993896484","76.129997253418","74.5","74.5","73.5400009155273","","","","","76.9899978637695","76.0299987792969","76.0999984741211","75.7300033569336","75.7099990844727","74.2799987792969","73.4400024414063","73.9300003051758","73.6500015258789","74.4199981689453","75.120002746582","75.0699996948242","77.870002746582","78.4000015258789","79.370002746582","79.5","76.1500015258789","77.3899993896484","76.7799987792969","76.2600021362305","75.5699996948242","67.6699981689453","78.1699981689453","78.8899993896484","77.8899993896484","77.6500015258789","77.1399993896484","76.7799987792969","78.6500015258789","79.3399963378906","79.5699996948242","",
"Comoros","COM","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Employment in services, female (% of female employment)","SL.SRV.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
